Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Phase1
20.000	6.1000	113.67	0.0087975	0.18842	0.40322	19.058	12.661	23.467	405.28	-0.32918	5.7022e-06	0.045817	supercritical
20.000	6.6000	119.10	0.0083965	0.18552	0.40733	18.403	12.681	23.207	418.56	-0.37474	5.8638e-06	0.047446	supercritical
20.000	7.1000	124.13	0.0080561	0.18295	0.41189	17.809	12.701	22.947	431.54	-0.41487	6.0243e-06	0.049094	supercritical
20.000	7.6000	128.81	0.0077632	0.18068	0.41683	17.265	12.720	22.691	444.20	-0.45036	6.1840e-06	0.050756	supercritical
20.000	8.1000	133.18	0.0075085	0.17866	0.42209	16.764	12.739	22.442	456.51	-0.48187	6.3429e-06	0.052431	supercritical
20.000	8.6000	137.28	0.0072846	0.17688	0.42763	16.301	12.757	22.201	468.48	-0.50993	6.5012e-06	0.054116	supercritical
20.000	9.1000	141.12	0.0070861	0.17530	0.43340	15.871	12.774	21.970	480.11	-0.53504	6.6590e-06	0.055808	supercritical
20.000	9.6000	144.75	0.0069087	0.17391	0.43938	15.469	12.790	21.749	491.40	-0.55757	6.8163e-06	0.057504	supercritical
20.000	10.100	148.17	0.0067490	0.17269	0.44552	15.093	12.805	21.538	502.38	-0.57787	6.9733e-06	0.059203	supercritical
20.000	10.600	151.42	0.0066043	0.17161	0.45181	14.740	12.820	21.337	513.05	-0.59621	7.1301e-06	0.060904	supercritical
20.000	11.100	154.50	0.0064725	0.17067	0.45824	14.407	12.833	21.145	523.42	-0.61284	7.2867e-06	0.062604	supercritical
20.000	11.600	157.44	0.0063518	0.16985	0.46477	14.092	12.846	20.963	533.52	-0.62796	7.4433e-06	0.064303	supercritical
