Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Phase1	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)	Phase2
4.3268	0.11146	122.54	0.0081604	-0.0013946	0.0022460	0.44854	9.8051	22.702	172.92	0.056157	3.0992e-06	0.018670	7.8130e-05	liquid	18.712	0.053442	0.058128	0.081970	18.874	12.979	41.303	100.64	10.885	1.2930e-06	0.0094069	vapor
4.3768	0.11662	121.44	0.0082344	-0.00044915	0.0033947	0.67356	9.8817	23.827	169.97	0.17723	3.0710e-06	0.018690	7.3194e-05	liquid	19.664	0.050854	0.057983	0.081721	18.569	13.019	43.076	100.60	10.765	1.3164e-06	0.0095936	vapor
4.4268	0.12195	120.29	0.0083134	0.00052755	0.0045856	0.90401	9.9614	25.092	166.91	0.30510	3.0421e-06	0.018708	6.8293e-05	liquid	20.671	0.048377	0.057798	0.081412	18.259	13.062	45.090	100.54	10.641	1.3405e-06	0.0097910	vapor
4.4768	0.12745	119.08	0.0083980	0.0015383	0.0058223	1.1405	10.045	26.527	163.71	0.44069	3.0124e-06	0.018724	6.3430e-05	liquid	21.738	0.046003	0.057569	0.081036	17.941	13.109	47.397	100.47	10.514	1.3653e-06	0.010001	vapor
4.5268	0.13312	117.80	0.0084890	0.0025863	0.0071093	1.3839	10.133	28.172	160.36	0.58509	2.9818e-06	0.018739	5.8609e-05	liquid	22.872	0.043722	0.057291	0.080587	17.616	13.162	50.065	100.37	10.381	1.3908e-06	0.010226	vapor
4.5768	0.13896	116.45	0.0085872	0.0036754	0.0084516	1.6349	10.227	30.079	156.86	0.73956	2.9503e-06	0.018754	5.3831e-05	liquid	24.081	0.041526	0.056961	0.080057	17.280	13.220	53.182	100.25	10.241	1.4172e-06	0.010468	vapor
4.6268	0.14498	115.02	0.0086938	0.0048103	0.0098555	1.8947	10.329	32.321	153.19	0.90563	2.9177e-06	0.018770	4.9100e-05	liquid	25.375	0.039408	0.056569	0.079438	16.934	13.284	56.864	100.11	10.093	1.4446e-06	0.010731	vapor
4.6768	0.15119	113.50	0.0088104	0.0059966	0.011328	2.1645	10.439	34.997	149.33	1.0852	2.8838e-06	0.018789	4.4419e-05	liquid	26.767	0.037360	0.056110	0.078719	16.574	13.356	61.273	99.949	9.9344	1.4732e-06	0.011019	vapor
4.7268	0.15760	111.87	0.0089387	0.0072413	0.012880	2.4461	10.561	38.252	145.28	1.2804	2.8484e-06	0.018811	3.9791e-05	liquid	28.270	0.035374	0.055572	0.077885	16.199	13.436	66.632	99.769	9.7628	1.5030e-06	0.011337	vapor
4.7768	0.16419	110.12	0.0090811	0.0085534	0.014521	2.7415	10.696	42.303	141.02	1.4942	2.8113e-06	0.018839	3.5219e-05	liquid	29.903	0.033441	0.054943	0.076920	15.804	13.524	73.273	99.572	9.5763	1.5344e-06	0.011691	vapor
4.8268	0.17100	108.21	0.0092409	0.0099445	0.016269	3.0535	10.848	47.496	136.52	1.7305	2.7721e-06	0.018874	3.0707e-05	liquid	31.693	0.031553	0.054207	0.075803	15.388	13.617	81.732	99.378	9.3727	1.5676e-06	0.012090	vapor
4.8768	0.17801	106.13	0.0094227	0.011431	0.018144	3.3860	11.023	54.408	131.73	1.9948	2.7303e-06	0.018921	2.6259e-05	liquid	33.671	0.029699	0.053341	0.074502	14.942	13.723	92.990	99.199	9.1467	1.6031e-06	0.012548	vapor
4.9268	0.18524	103.81	0.0096332	0.013034	0.020177	3.7443	11.239	64.072	126.51	2.2945	2.6852e-06	0.018984	2.1879e-05	liquid	35.886	0.027866	0.052313	0.072974	14.461	13.894	108.93	98.958	8.8852	1.6413e-06	0.013089	vapor
4.9768	0.19269	101.19	0.0098826	0.014789	0.022411	4.1367	11.537	78.517	120.66	2.6396	2.6358e-06	0.019074	1.7572e-05	liquid	38.406	0.026037	0.051076	0.071159	13.932	14.238	133.12	98.398	8.5706	1.6832e-06	0.013749	vapor
5.0268	0.20039	98.156	0.010188	0.016748	0.024920	4.5765	11.984	102.31	114.01	3.0417	2.5806e-06	0.019217	1.3346e-05	liquid	41.340	0.024190	0.049564	0.068966	13.339	14.858	172.62	97.203	8.1938	1.7301e-06	0.014592	vapor
5.0768	0.20833	94.509	0.010581	0.019016	0.027839	5.0890	12.659	148.22	106.64	3.5160	2.5166e-06	0.019487	9.2112e-06	liquid	44.886	0.022279	0.047653	0.066231	12.651	15.758	245.24	95.286	7.7583	1.7845e-06	0.015746	vapor
5.1268	0.21655	89.768	0.011140	0.021838	0.031493	5.7352	13.705	269.63	98.692	4.0899	2.4368e-06	0.020166	5.1863e-06	liquid	49.528	0.020190	0.045043	0.062543	11.792	16.885	422.99	92.721	7.2470	1.8526e-06	0.017624	vapor
5.1768	0.22507	81.817	0.012222	0.026321	0.037332	6.7911	undefined	undefined	undefined	4.8757	2.3098e-06	undefined	1.3243e-06	liquid	57.419	0.017416	0.040373	0.056063	10.409	undefined	undefined	undefined	6.4802	1.9623e-06	undefined	vapor
