Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
135.81	2.6439	1001.5	0.00099855	-2.2949	-2.1895	76.686	18.044	73.539	423.71	0.58011	72.911	0.063248	0.0020484	liquid
136.31	2.7028	995.09	0.0010049	-2.2635	-2.1550	76.922	18.069	74.905	417.80	0.61423	71.808	0.062631	0.0019627	liquid
136.81	2.7627	988.60	0.0010115	-2.2317	-2.1200	77.160	18.097	76.367	411.82	0.64994	70.705	0.062013	0.0018778	liquid
137.31	2.8235	981.99	0.0010183	-2.1995	-2.0846	77.401	18.128	77.937	405.76	0.68738	69.601	0.061395	0.0017936	liquid
137.81	2.8853	975.23	0.0010254	-2.1668	-2.0486	77.644	18.163	79.627	399.62	0.72667	68.496	0.060776	0.0017102	liquid
138.31	2.9481	968.33	0.0010327	-2.1338	-2.0122	77.889	18.202	81.451	393.40	0.76796	67.390	0.060157	0.0016276	liquid
138.81	3.0118	961.27	0.0010403	-2.1003	-1.9751	78.138	18.246	83.425	387.09	0.81140	66.281	0.059538	0.0015459	liquid
139.31	3.0766	954.04	0.0010482	-2.0663	-1.9374	78.389	18.294	85.570	380.69	0.85718	65.170	0.058918	0.0014650	liquid
139.81	3.1424	946.64	0.0010564	-2.0317	-1.8991	78.644	18.347	87.907	374.18	0.90551	64.055	0.058298	0.0013850	liquid
140.31	3.2092	939.03	0.0010649	-1.9966	-1.8601	78.902	18.407	90.464	367.57	0.95661	62.936	0.057677	0.0013059	liquid
140.81	3.2771	931.22	0.0010739	-1.9608	-1.8203	79.165	18.473	93.275	360.82	1.0107	61.812	0.057057	0.0012278	liquid
141.31	3.3460	923.18	0.0010832	-1.9244	-1.7797	79.432	18.548	96.378	353.95	1.0682	60.683	0.056437	0.0011506	liquid
141.81	3.4160	914.90	0.0010930	-1.8873	-1.7382	79.703	18.632	99.823	346.92	1.1294	59.547	0.055818	0.0010745	liquid
142.31	3.4871	906.35	0.0011033	-1.8494	-1.6957	79.980	18.727	103.67	339.72	1.1946	58.404	0.055201	0.00099940	liquid
142.81	3.5593	897.50	0.0011142	-1.8106	-1.6522	80.263	18.835	108.00	332.33	1.2644	57.252	0.054588	0.00092544	liquid
143.31	3.6326	888.33	0.0011257	-1.7709	-1.6075	80.552	18.960	112.90	324.74	1.3392	56.091	0.053981	0.00085264	liquid
143.81	3.7071	878.79	0.0011379	-1.7301	-1.5616	80.849	19.103	118.49	316.91	1.4198	54.918	0.053381	0.00078107	liquid
144.31	3.7827	868.85	0.0011509	-1.6882	-1.5142	81.154	19.268	124.96	308.81	1.5069	53.732	0.052794	0.00071078	liquid
144.81	3.8595	858.46	0.0011649	-1.6449	-1.4653	81.468	19.462	132.51	300.41	1.6015	52.531	0.052224	0.00064186	liquid
145.31	3.9375	847.54	0.0011799	-1.6001	-1.4145	81.793	19.689	141.46	291.67	1.7047	51.311	0.051680	0.00057439	liquid
145.81	4.0167	836.03	0.0011961	-1.5536	-1.3616	82.130	19.959	152.23	282.54	1.8179	50.070	0.051173	0.00050847	liquid
146.31	4.0972	823.82	0.0012139	-1.5050	-1.3063	82.482	20.280	165.48	272.96	1.9432	48.801	0.050719	0.00044422	liquid
146.81	4.1790	810.78	0.0012334	-1.4541	-1.2482	82.852	20.669	182.20	262.87	2.0828	47.499	0.050342	0.00038178	liquid
147.31	4.2621	796.73	0.0012551	-1.4002	-1.1865	83.243	21.145	203.96	252.17	2.2400	46.154	0.050079	0.00032133	liquid
147.81	4.3466	781.40	0.0012798	-1.3426	-1.1204	83.662	21.738	233.51	240.75	2.4194	44.750	0.049987	0.00026307	liquid
148.31	4.4324	764.42	0.0013082	-1.2803	-1.0486	84.117	22.495	276.01	228.42	2.6275	43.268	0.050154	0.00020730	liquid
148.81	4.5197	745.18	0.0013420	-1.2114	-0.96906	84.621	23.494	342.38	214.95	2.8741	41.668	0.050746	0.00015440	liquid
149.31	4.6086	722.55	0.0013840	-1.1327	-0.87787	85.201	24.885	460.29	199.91	3.1763	39.884	0.052108	0.00010494	liquid
149.81	4.6990	694.17	0.0014406	-1.0372	-0.76682	85.909	27.010	724.99	182.50	3.5664	37.767	0.055248	5.9834e-05	liquid
150.31	4.7913	652.58	0.0015324	-0.90315	-0.60985	86.919	30.965	1790.7	160.62	4.1305	34.856	0.065526	2.0992e-05	liquid
83.806	0.068891	4.0546	0.24663	1.0103	1.6891	131.15	12.972	22.172	168.12	35.712	6.8558	0.0053590	vapor
84.306	0.072952	4.2729	0.23403	1.0149	1.6970	130.78	12.990	22.229	168.53	35.285	6.9003	0.0053963	vapor
84.806	0.077197	4.5001	0.22222	1.0195	1.7048	130.42	13.008	22.287	168.93	34.866	6.9449	0.0054338	vapor
85.306	0.081631	4.7362	0.21114	1.0240	1.7125	130.06	13.026	22.347	169.33	34.456	6.9895	0.0054715	vapor
85.806	0.086259	4.9816	0.20074	1.0284	1.7201	129.70	13.045	22.409	169.72	34.055	7.0343	0.0055094	vapor
86.306	0.091086	5.2365	0.19097	1.0328	1.7277	129.35	13.065	22.472	170.11	33.661	7.0791	0.0055475	vapor
86.806	0.096120	5.5011	0.18178	1.0371	1.7352	129.00	13.084	22.537	170.49	33.275	7.1239	0.0055857	vapor
87.306	0.10136	5.7756	0.17314	1.0414	1.7425	128.66	13.105	22.604	170.87	32.897	7.1689	0.0056241	vapor
87.806	0.10683	6.0603	0.16501	1.0456	1.7498	128.32	13.125	22.673	171.24	32.526	7.2139	0.0056628	vapor
88.306	0.11251	6.3554	0.15735	1.0498	1.7570	127.99	13.146	22.744	171.61	32.162	7.2591	0.0057016	vapor
88.806	0.11842	6.6612	0.15012	1.0539	1.7641	127.66	13.168	22.816	171.98	31.805	7.3043	0.0057406	vapor
89.306	0.12457	6.9779	0.14331	1.0579	1.7710	127.33	13.190	22.891	172.34	31.454	7.3496	0.0057799	vapor
89.806	0.13096	7.3058	0.13688	1.0618	1.7779	127.01	13.212	22.967	172.69	31.111	7.3950	0.0058194	vapor
90.306	0.13759	7.6450	0.13080	1.0657	1.7847	126.69	13.234	23.046	173.04	30.773	7.4406	0.0058591	vapor
90.806	0.14448	7.9960	0.12506	1.0695	1.7914	126.38	13.258	23.127	173.39	30.442	7.4862	0.0058991	vapor
91.306	0.15163	8.3588	0.11963	1.0733	1.7979	126.07	13.281	23.209	173.73	30.117	7.5319	0.0059393	vapor
91.806	0.15904	8.7339	0.11450	1.0770	1.8044	125.76	13.305	23.294	174.07	29.797	7.5778	0.0059798	vapor
92.306	0.16672	9.1214	0.10963	1.0806	1.8108	125.45	13.329	23.382	174.40	29.483	7.6237	0.0060206	vapor
92.806	0.17468	9.5216	0.10502	1.0841	1.8170	125.15	13.354	23.471	174.73	29.175	7.6698	0.0060616	vapor
93.306	0.18292	9.9348	0.10066	1.0876	1.8231	124.85	13.380	23.563	175.05	28.872	7.7160	0.0061029	vapor
93.806	0.19146	10.361	0.096514	1.0910	1.8292	124.56	13.405	23.657	175.37	28.574	7.7624	0.0061445	vapor
94.306	0.20029	10.801	0.092582	1.0943	1.8351	124.27	13.431	23.753	175.68	28.281	7.8088	0.0061865	vapor
94.806	0.20942	11.255	0.088849	1.0976	1.8409	123.98	13.458	23.853	175.99	27.993	7.8554	0.0062287	vapor
95.306	0.21886	11.723	0.085303	1.1007	1.8465	123.69	13.485	23.954	176.29	27.710	7.9022	0.0062712	vapor
95.806	0.22861	12.205	0.081932	1.1038	1.8521	123.41	13.513	24.058	176.59	27.432	7.9491	0.0063141	vapor
96.306	0.23869	12.702	0.078726	1.1068	1.8575	123.13	13.541	24.165	176.89	27.158	7.9961	0.0063574	vapor
96.806	0.24910	13.214	0.075676	1.1097	1.8628	122.85	13.569	24.275	177.18	26.888	8.0433	0.0064010	vapor
97.306	0.25984	13.742	0.072772	1.1126	1.8680	122.58	13.598	24.387	177.46	26.623	8.0907	0.0064449	vapor
97.806	0.27092	14.284	0.070007	1.1153	1.8730	122.31	13.628	24.502	177.74	26.362	8.1382	0.0064893	vapor
98.306	0.28236	14.843	0.067371	1.1180	1.8779	122.04	13.658	24.620	178.01	26.105	8.1859	0.0065340	vapor
98.806	0.29414	15.418	0.064859	1.1206	1.8827	121.77	13.688	24.741	178.28	25.852	8.2338	0.0065792	vapor
99.306	0.30629	16.010	0.062463	1.1231	1.8874	121.50	13.719	24.866	178.55	25.603	8.2818	0.0066248	vapor
99.806	0.31881	16.618	0.060176	1.1255	1.8919	121.24	13.750	24.993	178.81	25.358	8.3301	0.0066708	vapor
100.31	0.33170	17.243	0.057993	1.1278	1.8962	120.98	13.782	25.124	179.07	25.116	8.3785	0.0067173	vapor
100.81	0.34497	17.886	0.055908	1.1300	1.9005	120.72	13.815	25.258	179.32	24.878	8.4272	0.0067642	vapor
101.31	0.35863	18.547	0.053916	1.1322	1.9046	120.47	13.848	25.395	179.56	24.643	8.4760	0.0068116	vapor
101.81	0.37268	19.227	0.052011	1.1342	1.9085	120.21	13.881	25.536	179.80	24.412	8.5251	0.0068595	vapor
102.31	0.38714	19.924	0.050190	1.1361	1.9123	119.96	13.915	25.680	180.04	24.184	8.5744	0.0069079	vapor
102.81	0.40200	20.641	0.048448	1.1380	1.9160	119.71	13.950	25.829	180.27	23.959	8.6239	0.0069568	vapor
103.31	0.41728	21.377	0.046780	1.1397	1.9195	119.46	13.985	25.981	180.49	23.738	8.6736	0.0070063	vapor
103.81	0.43299	22.132	0.045183	1.1414	1.9229	119.22	14.021	26.137	180.71	23.519	8.7236	0.0070564	vapor
104.31	0.44912	22.908	0.043653	1.1429	1.9261	118.97	14.057	26.297	180.93	23.303	8.7738	0.0071070	vapor
104.81	0.46568	23.704	0.042187	1.1443	1.9291	118.73	14.094	26.461	181.14	23.091	8.8243	0.0071582	vapor
105.31	0.48269	24.521	0.040781	1.1457	1.9320	118.49	14.131	26.630	181.35	22.881	8.8751	0.0072101	vapor
105.81	0.50015	25.359	0.039433	1.1469	1.9348	118.25	14.169	26.803	181.55	22.673	8.9261	0.0072626	vapor
106.31	0.51807	26.219	0.038140	1.1480	1.9373	118.01	14.208	26.981	181.74	22.469	8.9774	0.0073158	vapor
106.81	0.53645	27.101	0.036899	1.1490	1.9397	117.78	14.247	27.163	181.93	22.267	9.0290	0.0073697	vapor
107.31	0.55530	28.006	0.035707	1.1499	1.9420	117.54	14.287	27.351	182.12	22.068	9.0810	0.0074242	vapor
107.81	0.57463	28.933	0.034562	1.1507	1.9441	117.31	14.328	27.543	182.30	21.871	9.1332	0.0074796	vapor
108.31	0.59444	29.884	0.033462	1.1513	1.9460	117.08	14.369	27.741	182.48	21.676	9.1857	0.0075357	vapor
108.81	0.61474	30.859	0.032405	1.1519	1.9477	116.85	14.411	27.944	182.65	21.484	9.2386	0.0075926	vapor
109.31	0.63554	31.858	0.031389	1.1523	1.9492	116.62	14.453	28.153	182.81	21.294	9.2918	0.0076503	vapor
109.81	0.65685	32.883	0.030411	1.1526	1.9506	116.39	14.496	28.367	182.97	21.106	9.3454	0.0077089	vapor
110.31	0.67867	33.932	0.029471	1.1528	1.9518	116.17	14.540	28.588	183.13	20.921	9.3994	0.0077683	vapor
110.81	0.70100	35.008	0.028565	1.1528	1.9528	115.94	14.585	28.815	183.28	20.737	9.4537	0.0078287	vapor
111.31	0.72387	36.109	0.027694	1.1528	1.9536	115.72	14.630	29.048	183.42	20.556	9.5084	0.0078900	vapor
111.81	0.74727	37.238	0.026854	1.1525	1.9542	115.49	14.676	29.288	183.56	20.376	9.5635	0.0079523	vapor
112.31	0.77121	38.395	0.026045	1.1522	1.9546	115.27	14.723	29.535	183.69	20.199	9.6191	0.0080157	vapor
112.81	0.79569	39.579	0.025266	1.1517	1.9548	115.05	14.771	29.789	183.82	20.023	9.6751	0.0080801	vapor
113.31	0.82074	40.793	0.024514	1.1511	1.9549	114.83	14.819	30.051	183.95	19.849	9.7315	0.0081456	vapor
113.81	0.84634	42.035	0.023789	1.1504	1.9547	114.61	14.868	30.321	184.07	19.677	9.7884	0.0082123	vapor
114.31	0.87251	43.308	0.023090	1.1495	1.9543	114.39	14.918	30.598	184.18	19.506	9.8458	0.0082801	vapor
114.81	0.89926	44.611	0.022416	1.1484	1.9537	114.18	14.969	30.885	184.29	19.338	9.9036	0.0083492	vapor
115.31	0.92660	45.946	0.021765	1.1472	1.9529	113.96	15.021	31.180	184.39	19.170	9.9620	0.0084196	vapor
115.81	0.95452	47.313	0.021136	1.1459	1.9518	113.74	15.073	31.484	184.49	19.005	10.021	0.0084914	vapor
116.31	0.98305	48.712	0.020529	1.1444	1.9506	113.53	15.127	31.798	184.58	18.840	10.080	0.0085645	vapor
116.81	1.0122	50.145	0.019942	1.1428	1.9491	113.31	15.181	32.122	184.66	18.678	10.140	0.0086391	vapor
