Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
167.78	1.4272	1989.9	0.00050253	2.2174	2.2775	15.559	18.334	53.642	464.62	-0.016600	156.53	0.059479	0.0059927	liquid
168.28	1.4554	1984.5	0.00050391	2.2429	2.3044	15.712	18.320	53.887	462.02	-0.0062273	155.18	0.059144	0.0059033	liquid
168.78	1.4841	1979.0	0.00050531	2.2685	2.3314	15.865	18.307	54.137	459.40	0.0043550	153.84	0.058811	0.0058143	liquid
169.28	1.5131	1973.5	0.00050672	2.2942	2.3585	16.018	18.294	54.393	456.78	0.015153	152.51	0.058477	0.0057255	liquid
169.78	1.5426	1967.9	0.00050814	2.3200	2.3857	16.172	18.281	54.656	454.14	0.026173	151.19	0.058143	0.0056370	liquid
170.28	1.5724	1962.4	0.00050959	2.3459	2.4130	16.325	18.269	54.925	451.49	0.037421	149.88	0.057810	0.0055487	liquid
170.78	1.6027	1956.8	0.00051105	2.3719	2.4405	16.478	18.257	55.201	448.82	0.048904	148.58	0.057476	0.0054608	liquid
171.28	1.6334	1951.1	0.00051253	2.3979	2.4681	16.632	18.246	55.484	446.14	0.060629	147.30	0.057143	0.0053731	liquid
171.78	1.6645	1945.4	0.00051403	2.4241	2.4958	16.786	18.235	55.775	443.45	0.072603	146.02	0.056810	0.0052857	liquid
172.28	1.6960	1939.7	0.00051555	2.4503	2.5236	16.939	18.225	56.073	440.75	0.084834	144.75	0.056477	0.0051986	liquid
172.78	1.7280	1933.9	0.00051708	2.4767	2.5516	17.093	18.215	56.379	438.03	0.097330	143.49	0.056144	0.0051117	liquid
173.28	1.7603	1928.1	0.00051864	2.5031	2.5796	17.248	18.206	56.694	435.30	0.11010	142.24	0.055811	0.0050252	liquid
173.78	1.7932	1922.3	0.00052022	2.5297	2.6078	17.402	18.198	57.017	432.55	0.12315	141.00	0.055479	0.0049389	liquid
174.28	1.8264	1916.4	0.00052182	2.5563	2.6362	17.556	18.189	57.348	429.79	0.13649	139.77	0.055146	0.0048530	liquid
174.78	1.8601	1910.4	0.00052344	2.5831	2.6647	17.711	18.182	57.690	427.01	0.15013	138.54	0.054814	0.0047673	liquid
175.28	1.8942	1904.5	0.00052508	2.6099	2.6933	17.866	18.175	58.040	424.21	0.16407	137.32	0.054482	0.0046819	liquid
175.78	1.9287	1898.4	0.00052675	2.6369	2.7221	18.021	18.169	58.401	421.40	0.17834	136.12	0.054150	0.0045969	liquid
176.28	1.9638	1892.4	0.00052844	2.6640	2.7510	18.177	18.163	58.773	418.58	0.19294	134.91	0.053818	0.0045121	liquid
176.78	1.9992	1886.3	0.00053015	2.6912	2.7800	18.333	18.158	59.155	415.73	0.20788	133.72	0.053486	0.0044277	liquid
177.28	2.0351	1880.1	0.00053189	2.7185	2.8092	18.489	18.153	59.549	412.87	0.22317	132.53	0.053154	0.0043436	liquid
177.78	2.0715	1873.9	0.00053365	2.7460	2.8386	18.645	18.150	59.955	409.99	0.23883	131.35	0.052822	0.0042598	liquid
178.28	2.1083	1867.6	0.00053544	2.7736	2.8682	18.802	18.147	60.374	407.09	0.25487	130.18	0.052491	0.0041763	liquid
178.78	2.1456	1861.3	0.00053726	2.8013	2.8979	18.958	18.145	60.806	404.18	0.27130	129.01	0.052159	0.0040932	liquid
179.28	2.1834	1854.9	0.00053910	2.8291	2.9277	19.116	18.143	61.251	401.24	0.28813	127.85	0.051828	0.0040104	liquid
179.78	2.2216	1848.5	0.00054098	2.8571	2.9578	19.274	18.142	61.712	398.29	0.30539	126.69	0.051496	0.0039279	liquid
180.28	2.2604	1842.0	0.00054288	2.8852	2.9880	19.432	18.143	62.187	395.31	0.32308	125.54	0.051165	0.0038457	liquid
180.78	2.2996	1835.5	0.00054481	2.9134	3.0184	19.590	18.144	62.678	392.31	0.34123	124.40	0.050834	0.0037639	liquid
181.28	2.3393	1828.9	0.00054678	2.9418	3.0490	19.749	18.146	63.186	389.29	0.35984	123.26	0.050503	0.0036825	liquid
181.78	2.3794	1822.2	0.00054878	2.9703	3.0798	19.909	18.149	63.712	386.25	0.37895	122.12	0.050172	0.0036014	liquid
182.28	2.4201	1815.5	0.00055081	2.9990	3.1107	20.068	18.153	64.257	383.19	0.39857	120.99	0.049841	0.0035206	liquid
182.78	2.4613	1808.7	0.00055288	3.0279	3.1419	20.229	18.157	64.821	380.11	0.41871	119.86	0.049510	0.0034403	liquid
183.28	2.5029	1801.9	0.00055498	3.0569	3.1733	20.390	18.164	65.406	377.00	0.43941	118.74	0.049179	0.0033603	liquid
183.78	2.5451	1794.9	0.00055713	3.0861	3.2049	20.551	18.171	66.013	373.86	0.46068	117.62	0.048848	0.0032806	liquid
184.28	2.5878	1787.9	0.00055931	3.1155	3.2368	20.713	18.179	66.643	370.70	0.48255	116.51	0.048517	0.0032014	liquid
184.78	2.6309	1780.9	0.00056153	3.1450	3.2688	20.876	18.188	67.299	367.52	0.50505	115.40	0.048187	0.0031225	liquid
185.28	2.6746	1773.7	0.00056379	3.1747	3.3011	21.040	18.199	67.980	364.31	0.52820	114.29	0.047856	0.0030440	liquid
185.78	2.7189	1766.5	0.00056610	3.2047	3.3336	21.204	18.211	68.689	361.07	0.55203	113.19	0.047525	0.0029659	liquid
186.28	2.7636	1759.2	0.00056845	3.2348	3.3664	21.368	18.225	69.427	357.80	0.57657	112.08	0.047194	0.0028882	liquid
186.78	2.8089	1751.8	0.00057085	3.2651	3.3995	21.534	18.240	70.198	354.51	0.60185	110.98	0.046864	0.0028110	liquid
187.28	2.8547	1744.3	0.00057330	3.2956	3.4328	21.700	18.256	71.002	351.18	0.62792	109.88	0.046533	0.0027341	liquid
187.78	2.9011	1736.7	0.00057580	3.3264	3.4664	21.868	18.274	71.841	347.82	0.65481	108.78	0.046202	0.0026577	liquid
188.28	2.9479	1729.1	0.00057835	3.3574	3.5002	22.036	18.294	72.720	344.43	0.68256	107.69	0.045871	0.0025817	liquid
188.78	2.9954	1721.3	0.00058096	3.3886	3.5344	22.205	18.316	73.639	341.01	0.71120	106.59	0.045540	0.0025061	liquid
189.28	3.0434	1713.4	0.00058362	3.4200	3.5689	22.375	18.339	74.603	337.56	0.74080	105.50	0.045209	0.0024310	liquid
189.78	3.0919	1705.5	0.00058635	3.4517	3.6037	22.546	18.365	75.615	334.07	0.77140	104.40	0.044879	0.0023563	liquid
190.28	3.1410	1697.4	0.00058914	3.4837	3.6388	22.718	18.392	76.679	330.54	0.80304	103.31	0.044548	0.0022821	liquid
190.78	3.1907	1689.2	0.00059200	3.5160	3.6743	22.891	18.422	77.797	326.98	0.83580	102.21	0.044217	0.0022084	liquid
191.28	3.2410	1680.9	0.00059493	3.5485	3.7101	23.066	18.454	78.976	323.37	0.86972	101.12	0.043886	0.0021351	liquid
191.78	3.2918	1672.4	0.00059794	3.5814	3.7463	23.241	18.488	80.221	319.73	0.90489	100.02	0.043555	0.0020624	liquid
192.28	3.3432	1663.8	0.00060102	3.6145	3.7829	23.418	18.526	81.537	316.05	0.94136	98.919	0.043224	0.0019901	liquid
192.78	3.3952	1655.1	0.00060418	3.6480	3.8199	23.597	18.565	82.930	312.32	0.97922	97.816	0.042892	0.0019184	liquid
