
Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
155.69	1.3336	346.01	0.0028901	2.6051	2.6669	19.653	30.615	68.045	850.68	0.038351	50.408	0.12108	0.0048114	liquid
156.19	1.3620	344.91	0.0028993	2.6376	2.7010	19.863	30.603	68.367	844.36	0.049897	49.945	0.12036	0.0047273	liquid
156.69	1.3908	343.81	0.0029085	2.6702	2.7351	20.072	30.593	68.699	838.03	0.061740	49.485	0.11965	0.0046435	liquid
157.19	1.4200	342.71	0.0029180	2.7029	2.7694	20.282	30.583	69.040	831.66	0.073891	49.030	0.11894	0.0045600	liquid
157.69	1.4496	341.59	0.0029275	2.7358	2.8038	20.492	30.574	69.391	825.27	0.086361	48.578	0.11822	0.0044767	liquid
158.19	1.4797	340.46	0.0029372	2.7687	2.8384	20.702	30.566	69.753	818.85	0.099163	48.130	0.11751	0.0043936	liquid
158.69	1.5102	339.33	0.0029470	2.8018	2.8732	20.912	30.558	70.126	812.41	0.11231	47.685	0.11680	0.0043109	liquid
159.19	1.5412	338.18	0.0029570	2.8350	2.9081	21.123	30.551	70.511	805.93	0.12581	47.244	0.11608	0.0042284	liquid
159.69	1.5726	337.03	0.0029671	2.8683	2.9431	21.333	30.545	70.907	799.43	0.13968	46.807	0.11537	0.0041461	liquid
160.19	1.6045	335.86	0.0029774	2.9017	2.9784	21.544	30.539	71.317	792.89	0.15394	46.373	0.11465	0.0040642	liquid
160.69	1.6369	334.69	0.0029879	2.9353	3.0138	21.755	30.534	71.740	786.33	0.16859	45.942	0.11393	0.0039825	liquid
161.19	1.6697	333.50	0.0029985	2.9690	3.0493	21.966	30.531	72.177	779.73	0.18366	45.514	0.11322	0.0039011	liquid
161.69	1.7030	332.30	0.0030093	3.0028	3.0851	22.178	30.527	72.628	773.11	0.19917	45.090	0.11250	0.0038199	liquid
162.19	1.7367	331.10	0.0030203	3.0368	3.1210	22.389	30.525	73.095	766.45	0.21513	44.669	0.11178	0.0037391	liquid
162.69	1.7709	329.88	0.0030314	3.0710	3.1571	22.601	30.524	73.578	759.75	0.23155	44.251	0.11106	0.0036586	liquid
163.19	1.8057	328.65	0.0030428	3.1052	3.1934	22.814	30.524	74.079	753.02	0.24847	43.835	0.11034	0.0035783	liquid
163.69	1.8409	327.40	0.0030543	3.1397	3.2299	23.026	30.524	74.597	746.26	0.26589	43.423	0.10962	0.0034984	liquid
164.19	1.8765	326.15	0.0030661	3.1743	3.2666	23.240	30.526	75.135	739.46	0.28385	43.014	0.10890	0.0034188	liquid
164.69	1.9127	324.88	0.0030781	3.2090	3.3035	23.453	30.529	75.692	732.63	0.30237	42.607	0.10818	0.0033395	liquid
165.19	1.9494	323.60	0.0030903	3.2440	3.3406	23.667	30.532	76.271	725.75	0.32146	42.202	0.10746	0.0032605	liquid
165.69	1.9866	322.30	0.0031027	3.2791	3.3779	23.882	30.537	76.873	718.84	0.34117	41.801	0.10673	0.0031818	liquid
166.19	2.0243	320.99	0.0031153	3.3143	3.4155	24.097	30.543	77.498	711.89	0.36152	41.401	0.10601	0.0031034	liquid
166.69	2.0625	319.67	0.0031283	3.3498	3.4533	24.312	30.551	78.149	704.89	0.38253	41.004	0.10528	0.0030254	liquid
167.19	2.1012	318.33	0.0031414	3.3855	3.4914	24.529	30.559	78.826	697.86	0.40424	40.610	0.10456	0.0029478	liquid
167.69	2.1405	316.97	0.0031548	3.4213	3.5297	24.746	30.569	79.532	690.78	0.42669	40.217	0.10383	0.0028705	liquid
168.19	2.1802	315.60	0.0031686	3.4574	3.5682	24.963	30.580	80.269	683.65	0.44991	39.827	0.10310	0.0027935	liquid
168.69	2.2205	314.21	0.0031826	3.4937	3.6070	25.181	30.593	81.038	676.48	0.47395	39.438	0.10237	0.0027169	liquid
169.19	2.2614	312.81	0.0031969	3.5302	3.6461	25.401	30.608	81.842	669.26	0.49884	39.051	0.10164	0.0026407	liquid
169.69	2.3028	311.38	0.0032115	3.5669	3.6855	25.620	30.624	82.684	661.99	0.52462	38.667	0.10091	0.0025648	liquid
170.19	2.3447	309.94	0.0032264	3.6039	3.7252	25.841	30.641	83.565	654.67	0.55136	38.283	0.10017	0.0024893	liquid
170.69	2.3872	308.48	0.0032417	3.6411	3.7652	26.063	30.661	84.489	647.30	0.57910	37.902	0.099436	0.0024142	liquid
171.19	2.4302	306.99	0.0032574	3.6785	3.8055	26.286	30.682	85.460	639.87	0.60790	37.521	0.098699	0.0023395	liquid
171.69	2.4738	305.49	0.0032734	3.7163	3.8462	26.509	30.706	86.480	632.38	0.63782	37.142	0.097961	0.0022653	liquid
172.19	2.5179	303.96	0.0032899	3.7543	3.8872	26.734	30.731	87.553	624.84	0.66892	36.764	0.097221	0.0021914	liquid
172.69	2.5627	302.41	0.0033067	3.7926	3.9285	26.960	30.759	88.685	617.23	0.70128	36.388	0.096479	0.0021180	liquid
173.19	2.6080	300.84	0.0033240	3.8312	3.9703	27.188	30.789	89.881	609.56	0.73497	36.012	0.095736	0.0020450	liquid
173.69	2.6539	299.24	0.0033418	3.8701	4.0124	27.417	30.822	91.144	601.82	0.77009	35.637	0.094991	0.0019724	liquid
174.19	2.7003	297.62	0.0033600	3.9094	4.0549	27.647	30.857	92.483	594.01	0.80671	35.262	0.094244	0.0019003	liquid
174.69	2.7474	295.96	0.0033788	3.9490	4.0979	27.879	30.895	93.904	586.13	0.84495	34.888	0.093496	0.0018287	liquid
175.19	2.7951	294.28	0.0033981	3.9889	4.1413	28.112	30.937	95.414	578.17	0.88491	34.514	0.092746	0.0017575	liquid
175.69	2.8434	292.57	0.0034180	4.0293	4.1852	28.347	30.982	97.023	570.14	0.92670	34.140	0.091995	0.0016869	liquid
176.19	2.8923	290.82	0.0034386	4.0701	4.2296	28.584	31.030	98.741	562.02	0.97047	33.766	0.091242	0.0016168	liquid
176.69	2.9418	289.04	0.0034597	4.1113	4.2745	28.823	31.082	100.58	553.81	1.0164	33.392	0.090488	0.0015472	liquid
177.19	2.9919	287.22	0.0034816	4.1529	4.3200	29.064	31.139	102.55	545.52	1.0645	33.017	0.089733	0.0014781	liquid
177.69	3.0427	285.37	0.0035043	4.1950	4.3661	29.308	31.200	104.67	537.12	1.1151	32.641	0.088977	0.0014096	liquid
178.19	3.0941	283.47	0.0035277	4.2377	4.4128	29.554	31.266	106.96	528.63	1.1684	32.264	0.088219	0.0013417	liquid
178.69	3.1461	281.53	0.0035520	4.2809	4.4601	29.803	31.338	109.44	520.03	1.2245	31.886	0.087461	0.0012743	liquid
179.19	3.1988	279.54	0.0035773	4.3246	4.5082	30.055	31.415	112.13	511.31	1.2838	31.506	0.086703	0.0012076	liquid
179.69	3.2522	277.50	0.0036036	4.3690	4.5570	30.310	31.499	115.06	502.48	1.3464	31.123	0.085946	0.0011415	liquid
180.19	3.3062	275.41	0.0036310	4.4140	4.6066	30.568	31.591	118.27	493.52	1.4128	30.739	0.085189	0.0010761	liquid
180.69	3.3610	273.26	0.0036595	4.4598	4.6571	30.830	31.690	121.80	484.42	1.4832	30.351	0.084434	0.0010114	liquid
181.19	3.4164	271.05	0.0036894	4.5064	4.7086	31.096	31.799	125.70	475.17	1.5581	29.959	0.083681	0.00094746	liquid
181.69	3.4725	268.76	0.0037207	4.5537	4.7610	31.367	31.918	130.04	465.77	1.6379	29.564	0.082933	0.00088424	liquid
182.19	3.5293	266.41	0.0037537	4.6021	4.8146	31.643	32.048	134.88	456.21	1.7232	29.164	0.082190	0.00082182	liquid
182.69	3.5868	263.97	0.0037884	4.6514	4.8694	31.924	32.191	140.34	446.45	1.8146	28.758	0.081456	0.00076024	liquid
183.19	3.6451	261.44	0.0038250	4.7018	4.9255	32.211	32.349	146.54	436.50	1.9128	28.346	0.080732	0.00069954	liquid
