Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
367.00	2.0971	587.57	0.0017019	5.4666	5.4973	15.468	174.62	224.13	773.42	-0.021423	162.37	0.10151	0.010958	6.4431	0.15520	29.844	32.649	89.451	165.02	177.65	178.81	2.6038	7.6510	0.019890
368.00	2.1536	586.50	0.0017050	5.6903	5.7220	16.077	174.97	224.59	769.10	-0.021060	161.06	0.10128	0.010862	6.6095	0.15130	29.993	32.801	89.661	165.47	178.20	178.77	2.5855	7.6741	0.019987
369.00	2.2112	585.43	0.0017081	5.9145	5.9471	16.686	175.33	225.06	764.78	-0.020694	159.76	0.10104	0.010766	6.7792	0.14751	30.142	32.953	89.872	165.93	178.75	178.72	2.5674	7.6973	0.020085
370.00	2.2701	584.36	0.0017113	6.1391	6.1726	17.294	175.68	225.52	760.46	-0.020322	158.47	0.10081	0.010671	6.9524	0.14383	30.291	33.105	90.084	166.38	179.31	178.67	2.5497	7.7209	0.020184
371.00	2.3301	583.28	0.0017144	6.3642	6.3986	17.902	176.04	225.99	756.14	-0.019946	157.19	0.10058	0.010575	7.1291	0.14027	30.441	33.257	90.297	166.84	179.87	178.62	2.5322	7.7446	0.020283
372.00	2.3913	582.20	0.0017176	6.5898	6.6252	18.509	176.40	226.47	751.82	-0.019565	155.93	0.10035	0.010480	7.3093	0.13681	30.590	33.410	90.510	167.29	180.43	178.56	2.5150	7.7686	0.020382
373.00	2.4538	581.11	0.0017208	6.8157	6.8521	19.116	176.75	226.94	747.51	-0.019179	154.67	0.10012	0.010384	7.4931	0.13346	30.740	33.562	90.724	167.75	180.99	178.49	2.4981	7.7928	0.020481
374.00	2.5175	580.03	0.0017241	7.0422	7.0796	19.722	177.11	227.41	743.19	-0.018788	153.43	0.099896	0.010289	7.6806	0.13020	30.890	33.714	90.938	168.21	181.56	178.42	2.4815	7.8174	0.020581
375.00	2.5824	578.93	0.0017273	7.2691	7.3075	20.328	177.47	227.89	738.88	-0.018391	152.20	0.099668	0.010194	7.8718	0.12704	31.040	33.867	91.154	168.66	182.12	178.35	2.4651	7.8421	0.020681
376.00	2.6487	577.84	0.0017306	7.4964	7.5359	20.934	177.82	228.37	734.57	-0.017990	150.98	0.099442	0.010099	8.0667	0.12397	31.190	34.020	91.370	169.12	182.69	178.27	2.4491	7.8672	0.020781
377.00	2.7162	576.74	0.0017339	7.7242	7.7648	21.539	178.18	228.85	730.25	-0.017582	149.77	0.099217	0.010005	8.2655	0.12098	31.341	34.173	91.586	169.58	183.26	178.18	2.4333	7.8926	0.020882
378.00	2.7850	575.64	0.0017372	7.9525	7.9942	22.144	178.54	229.34	725.94	-0.017169	148.57	0.098992	0.0099103	8.4682	0.11809	31.491	34.326	91.804	170.03	183.84	178.09	2.4177	7.9183	0.020983
379.00	2.8551	574.53	0.0017406	8.1812	8.2240	22.748	178.90	229.82	721.63	-0.016751	147.39	0.098768	0.0098160	8.6748	0.11528	31.642	34.479	92.022	170.49	184.42	178.00	2.4025	7.9443	0.021085
